tconst	directors
tt10053270	nm1404619
tt10054198	nm0644362
tt10054330	nm8347916
tt10054536	nm10561671
tt10054544	nm7639509
tt10054624	nm0392833
tt10054672	nm8811660
tt10054906	nm8916864
tt10054940	nm0647220
tt10054952	nm8013984
tt10055284	nm8211328
tt10055618	nm1117292
tt10055762	nm10562582
tt10055770	nm8351963
tt10055774	nm8857578
tt10055876	nm1312884
tt10056028	nm1336117,nm3508798
tt10056070	nm9908741
tt10056072	nm10562850,nm10562849
tt10056270	nm9272490
tt10056322	nm10196444,nm3160391
tt10056330	nm1636684
tt10056334	nm10563021
tt10056452	\N
tt10056504	\N
tt10056510	nm9647747
tt10056564	nm10563141
tt10057076	nm10563292
tt10057466	nm10562515
tt10057838	\N
tt10058356	nm10563476,nm7148838
tt10058396	nm3428843
tt10058744	nm8803964
tt10058890	nm0096539
tt10059220	nm3909467
tt10059236	nm0755658
tt10059414	nm10321868
tt10059438	nm11151746
tt10059440	nm3485489
tt10059478	nm6159005
tt10059518	nm0097517
tt10059530	nm10564005
tt10059624	nm0472248
tt10060094	nm0593618
tt10060386	nm1363725
tt10060902	nm10193497
tt10061256	nm6053080
tt10061464	nm10562627
tt10061766	nm10564685,nm10564687,nm10274035,nm10564688,nm10564686,nm8223315
tt10062102	nm10564783
tt10062150	nm10564794
tt10062286	nm4170979
tt10062474	nm6427447
tt10062480	nm10564953
tt10062530	\N
tt10062546	nm10564971
tt10062556	nm10564978
tt10062572	nm3634528
tt10062606	nm7406954,nm2520229,nm4188116
tt10062650	nm0755345
tt10062704	nm8030735
tt10063028	nm2357315
tt10063078	nm0553417
tt10063548	nm9033305
tt10063580	nm3705090
tt10063814	nm9176892
tt10063976	nm6373332
tt10064270	nm4399917
tt10064326	nm0612664
tt10064354	nm6582768
tt10064418	nm8519255
tt10064448	nm2102341
tt10064536	\N
tt10064562	nm1098022,nm1234876
tt10064596	nm8691673
tt10064728	nm8865696,nm2428010
tt10064828	nm0038627
tt10064948	nm1919943
tt10065576	nm2160801
tt10065694	nm4680113,nm7896794
tt10065750	nm0888418
tt10065960	nm10566844
tt10065976	nm2242451
tt10066040	nm3952461
tt10066102	nm10566922
tt10066162	nm10566938
tt10066186	nm9546689
tt10066268	nm9772040
tt10066376	nm10567038
tt10066396	nm10567047
tt10066432	nm5262488
tt10066526	nm1550257
tt10066560	nm2168869
tt10066628	nm8721149
tt10066646	nm8606300
tt10066756	nm1744333
tt10066788	nm3403456,nm4887898
tt10067502	nm0418797
tt10068158	nm9181025
tt10068184	nm1210071
tt10068544	nm9181025
tt10068916	nm9181025
tt10069122	nm10567789
tt10069190	\N
tt10069208	nm6563565
tt10069426	nm10189720
tt10069476	nm8315359
tt10069842	nm10568181
tt10069972	nm7141642
tt10070730	nm7835690
tt10071230	\N
tt10071352	nm10568761
tt10071390	nm8943299
tt10071462	nm0743164
tt10071696	nm10569062
tt10071700	nm10189720
tt10071862	nm1747332
tt10071942	nm10569235
tt10071984	nm8472995
tt10072442	nm2529998
tt10072948	nm1141845
tt10073008	nm10569393,nm0485895,nm2516950
tt10073018	nm7938044
tt10073438	nm10569732
tt10073458	nm10204389
tt10073510	nm10569788
tt10073630	nm8924654
tt10073734	nm0263727
tt10073858	nm6382332
tt10073888	nm6382332
tt10073902	nm10570136
tt10073928	nm2655355
tt10074200	\N
tt10074426	nm2881346
tt10074458	nm4911131
tt10074486	nm10570586
tt10074520	nm4855597
tt10074536	nm0508508,nm9039987
tt10074540	nm10063768
tt10074544	nm1145183
tt10074652	nm6039167,nm5590268
tt10074678	nm8083033
tt10074700	nm4345105,nm4123980
tt10075070	nm10571058
tt10075078	nm10571066
tt10075374	nm8658796
tt10075438	nm5298325
tt10075508	nm10571265
tt10075574	nm4482729
tt10075584	nm5090286
tt10075604	nm7570226,nm8710980
tt10075650	nm9816747
tt10075732	nm7193256
tt10075748	\N
tt10075830	nm10571490,nm7114505
tt10075912	nm10083255
tt10075944	nm2212798
tt10075988	nm0131239
tt10076106	nm4591136
tt10076184	\N
tt10076440	nm2062756,nm7403146
tt10076722	nm8986705
tt10076760	nm10351658
tt10077034	nm1966532
tt10077042	nm3430436
tt10077090	nm10560071
tt10077134	nm10571809
tt10077544	nm0093081
tt10077594	nm0485016
tt10077598	nm10571895
tt10077600	nm1729147
tt10077616	nm1853557,nm10571927
tt10077706	nm4341114
tt10077856	nm4700587
tt10077998	nm5893763
tt10078016	nm10243454
tt10078132	nm1216840
tt10078138	nm10571979
tt10078290	nm0447476
tt10078326	nm10263028
tt10078450	nm4296737
tt10078502	nm4215605
tt10078522	nm10572166,nm10572167
tt10078532	nm2417393
tt10078664	nm4341114
tt10078676	nm10572289,nm9822506
tt10078764	nm7570226
tt10078822	nm10572434
tt10078834	nm5107572
tt10078894	nm0689789
tt10078900	nm9318085
tt10078904	nm4341114
tt10079310	nm5557922
tt10079398	\N
tt10079698	nm0274842
tt10079750	nm0002396
tt10079796	nm4620941
tt10079798	nm7151014
tt10079986	nm10572890
tt10080052	nm10572987
tt10080062	nm1592577
tt10080066	nm2627648
tt10080270	nm1436630
tt10080276	nm0937646
tt10080834	nm7125504
tt10080924	nm7127455
tt10080994	\N
tt10080996	nm1910832
tt10081028	nm9215737
tt10081086	nm9015948,nm10072959
tt10081104	nm7408158
tt10081116	nm10573564
tt10081120	nm1164192
tt10081124	nm0361779
tt10081134	nm10573573
tt10081154	nm10573610
tt10081162	nm10573619
tt10081166	nm10573632
tt10081172	nm11302521,nm7957324
tt10081202	nm4118640
tt10081210	nm2560181
tt10081238	nm11057019
tt10081252	nm0344230
tt10081286	nm0117743
tt10081380	nm10573777
tt10081402	nm10573823
tt10081428	nm3311793
tt10081546	nm0995513
tt10081590	nm4315775
tt10081592	nm10573935
tt10081596	nm6982686
tt10081632	nm4315775
tt10081728	nm3727818
tt10081762	nm1893652
tt10081788	nm3803118
tt10082356	nm1482378
tt10082520	nm7015905
tt10082536	nm4369346
tt10082932	nm10574245
tt10083048	nm0882084
tt10083094	nm10574290
tt10083340	nm0080220
tt10083622	nm9770223,nm9770222
tt10083868	nm10668220
tt10083934	nm0563058
tt10083986	nm7329756
tt10084190	nm8589213
tt10084200	nm7759959
tt10084358	nm10586890
tt10084394	nm10574562
tt10084608	nm10045188
tt10084614	nm10244866
tt10084684	nm10574659
tt10084688	nm1541888
tt10084752	nm7737222,nm3600790
tt10084764	nm10574714
tt10084778	nm7981281
tt10084780	nm10574727
tt10084788	nm5445751
tt10084868	nm10574781
tt10084972	nm0595586
tt10085296	nm6454554
tt10085298	nm1216178
tt10085338	nm1391169
tt10085492	nm8647374
tt10085524	nm7717515
tt10085648	nm3131807
tt10085818	nm0955399
tt10085844	nm10575412
tt10086164	nm10575412
tt10086448	nm5686400
tt10086502	nm3264980
tt10086648	nm0793997
tt10086692	nm8658796
tt10086754	nm8657251
tt10086764	nm10575878
tt10086784	nm5101650
tt10086808	nm5163717,nm2343662
tt10086834	nm4585495
tt10086906	nm4046033
tt10087134	nm2051927
tt10087396	nm7931526
tt10087448	nm0449270
tt10087464	nm2127453
tt10087478	\N
tt10087490	nm9242150
tt10087508	\N
tt10087550	\N
tt10087628	nm4802346
tt10087630	nm10599167
tt10087852	nm10576580
tt10087946	nm2249544
tt10088006	nm3807784
tt10088984	nm0141127
tt10089152	nm6278813
tt10089372	nm0478121
tt10089524	nm3612263
tt10089828	nm1951121
tt10089942	nm10577153,nm10577154
tt10090052	nm1951121
tt10090096	nm1951121
tt10090114	nm10577256
tt10090222	nm10577291
tt10090580	\N
tt10090588	\N
tt10090742	nm6209379,nm5655465,nm0571796
tt10090744	nm4567657
tt10091268	nm4204751
tt10091380	nm3077771
tt10091514	nm8843106
tt10091530	nm0806492
tt10091696	nm1550645
tt10091870	nm0002396
tt10091956	nm9456248
tt10091972	nm5827108
tt10092142	nm0443720
tt10092368	nm0443720
tt10092464	nm5638638
tt10092508	nm6811106
tt10092736	nm0795622
tt10092762	nm9260410
tt10092770	nm1295189
tt10092860	nm1507117
tt10092888	nm10578857
tt10093086	nm10578933,nm0299601
tt10093094	nm4201186
tt10093120	nm8291698
tt10094548	nm4190509,nm0113919
tt10094644	nm8514796
tt10095266	nm1583111
tt10095276	nm1263747,nm1426110
tt10095308	nm4822033
tt10095336	nm2432785,nm1463439
tt10095498	nm10579538
tt10095582	nm0001054
tt10095618	nm10579634
tt10095624	nm0525303
tt10095688	\N
tt10095714	\N
tt10096092	nm4199273,nm0895695
tt10096218	nm0798595
tt10096224	nm10578553
tt10096232	nm3222976,nm10579998
tt10096300	nm2638951
tt10096422	nm5954636
tt10096424	nm0211564,nm0211565
tt10096842	nm0497563
tt10096850	nm4965529
tt10097056	nm1871165
tt10097312	nm3641208
tt10097364	nm10580378
tt10097384	nm1970591
tt10097388	nm1020730
tt10097436	nm1017762
tt10097464	\N
tt10097480	nm2444903
tt10097482	\N
tt10097530	nm0911094
tt10097544	nm5052713
tt10097618	nm7225241
tt10097752	nm5628203
tt10097816	nm3533819
tt10097824	nm9058573
tt10097832	nm9090898
tt10097936	nm5874001
tt10097954	nm10580660
tt10097958	nm1664102
tt10097960	\N
tt10097966	\N
tt10097970	\N
