Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Charonne.;passage de Lagny;12.0;158.0;XXe;rue de Lagny, 87.;rue Philidor, 18.
Auteuil.;square Tolstoï;54.0;68.0;XVIe;boulevard Suchet, 92.;avenue du Maréchal Lyautey, 1 et avenue du Maréchal Franchet d'Espérey.
Auteuil.;rue de Varize;12.0;300.0;XVIe;rue Michel-Ange, 98.;boulevard Murat, 63.
Belleville.;place Henri Malberg;15.0;;Xxe;intersection des rues des Pyrénées, Levert et des Rigoles.;
Halles.;rue Clémence Royer;6.0;13.0;Ier;rue de Viarmes, 29.;rue Coquillière.
Arts et Métiers. Enfants Rouges. Sainte-Avoye. Saint-Merri.;rue du Temple;20.0;1335.0;IIIe,IVe;rue de Rivoli, 64.;place de la République, 13.
Saint-Germain des Prés.;rue des Ciseaux;10.0;69.0;VIe;boulevard Saint-Germain, 145, et rue Gozlin, 1.;rue du Four, 16.
Bonne Nouvelle.;allée Pierre Lazareff;6.0;360.0;IIe;rue Réaumur (côté impair) entre la rue des Petits Carreaux et la rue Saint-Denis.;
Saint-Gervais. Notre-Dame.;pont Marie;22.0;97.0;IVe;quai de l'Hôtel de Ville.;quai de Bourbon.
Saint-Georges.;rue Notre-Dame de Lorette;13.0;485.0;IXe;rue Saint-Lazare, 2, et rue des Martyrs, 1.;rue Jean-Baptiste Pigalle, 48.
Saint-Georges.;place Adolphe Max;56.4;65.0;IXe;rue de Calais, rue de Vintimille, rue de Bruxelles, et rue de Douai.;
Gare.;rue Nationale;20.0;1320.0;XIIIe;boulevard Masséna, 76, et avenue d'Ivry, 2.;boulevard Vincent Auriol, 145.
Maison Blanche.;rue des Peupliers;12.0;460.0;XIIIe;rue du Moulin des Prés, 74.;boulevard Kellermann.
Maison Blanche.;rue Brillat-Savarin;12.0;960.0;XIIIe;rue des Peupliers, 42.;rue Henri Becque, 1, et rue Boussingault, 41.
Petit Montrouge.;place Ferdinand Brunot;0.0;0.0;XIVe;devant la mairie du XIVe arrondissement entre les rues Pierre Castagnou, Saillard et le square Ferdinand Brunot.;
Saint-Lambert.;voie CH/15;10.0;180.0;XVe;place des Insurgés de Varsovie.;boulevard Périphérique extérieur sud.
Petit Montrouge.;impasse du Rouet;3.8;40.0;XIVe;avenue Jean Moulin, 4.;
Necker.;place Madeleine Renaud et Jean-Louis Barrault;30.0;42.0;XVe;rue du Cotentin, 17.;rue André Gide, 1.
Palais Royal.;place Mireille;0.0;0.0;Ier;intersection des rues Molière et de Richelieu.;
Folie-Méricourt.;rue Toussaint Louverture;9.0;11.0;XIe;boulevard Richard Lenoir, 140 et boulevard Jules Ferry, 2.;rue de la Folie-Méricourt, 83.
Maison Blanche.;passage Vandrezanne;2.0;118.0;XIIIe;rue Vandrezanne, 37.;rue du Moulin des Prés, 57.
Roquette.;rue La Vacquerie;13.0;174.0;XIe;rue de la Folie-Regnault, 3.;rue de la Roquette, 164 bis.
Bercy. Picpus. Quinze-Vingts.;place du Colonel Bourgoin;0.0;0.0;XIIe;intersection des rues de Rambouillet, de Charenton, Crozatier, Chaligny et Erard.;
Bel Air.;avenue Lamoricière;20.0;225.0;XIIe;avenue Courteline, 5.;rue Fernand Foureau, 8.
Necker.;boulevard de Vaugirard;42.0;460.0;XVe;places Raoul Dautry, 2, et Bienvenüe, 6.;boulevard Pasteur, 71.
Goutte d'Or.;voie AU/18;7.6;53.0;XVIIIe;passage Ruelle, 10.;cité de la Chapelle, 5 bis.
Auteuil.;hameau Béranger;5.0;50.0;XVIe;rue Jean de La Fontaine, 16.;en impasse.
Amérique.;rue de Palestine;9.0;165.0;XIXe;rue de Belleville, 139.;rue des Solitaires, 26.
Amérique.;rue Francis Ponge;11.0;182.0;XIXe;place Rhin et Danube, 7-9.;boulevard Sérurier, 123.
Pont de Flandre.;galerie de la Villette;16.5;973.0;XIXe;avenue Jean Jaurès, 213.;avenue Corentin Cariou, 26.
Saint-Lambert.;rue du Général Beuret;15.0;205.0;XVe;rue Blomet, 77, et place du Général Beuret, 9.;rue de Vaugirard, 250.
Père Lachaise.;impasse Orfila;2.0;42.0;XXe;rue Orfila, 28.;
Père Lachaise.;passage des Rondeaux;0.0;29.0;XXe;rue des Rondeaux, 88.;avenue Gambetta, 26.
Charonne.;rue Félix Terrier;15.0;186.0;XXe;rue Eugène Reisz.;rue Harpignies, 2.
Sainte-Avoye.;place Renée Vivien;0.0;0.0;IIIe;intersection de la rue des Haudriettes (côté impair) et de la rue du Temple (côté pair).;
Belleville.;place Henri Krasucki;0.0;0.0;XXe;intersection de rue Levert, rue de la Mare, rue des Envierges, rue des Couronnes et rue des Cascades.;
Enfants Rouges.;place Nathalie Lemel;0.0;0.0;IIIe;intersection de rue de la Corderie et rue Dupetit-Thouars.;
Roquette, Sainte-Marguerite.;place du Huit Février 1962;0.0;0.0;XIe;intersection de la rue de Charonne et du boulevard Voltaire.;
Javel.;allée Irène Némirovsky;9.0;169.0;XVe;rue Lacordaire, 37.;rue de Lourmel, 136.
Val de Grâce.;place Hubert Curien;;;Ve;rues Rataud et Pierre Brossolette.;
Saint-Germain des Prés.;place Jean-Paul Sartre-Simone de Beauvoir;32.0;47.0;VIe;place Saint-Germain des Prés, place du Québec, carrefour du boulevard Saint-Germain et de la rue de Rennes.;
Sorbonne.;rue de la Huchette;10.0;164.0;Ve;rue du Petit Pont, 4 et place du Petit Pont, 6.;place Saint-Michel, 3.
Rochechouart.;cité Charles Godon;12.0;95.0;IXe;rue Milton, 25.;rue de La Tour d'Auvergne, 41.
Archives.;rue de la Perle;20.0;118.0;IIIe;place de Thorigny, 1 et rue de Thorigny, 1.;rue Vieille du Temple, 78.
Enfants Rouges. Saint-Ambroise.;boulevard des Filles du Calvaire;36.2;210.0;IIIe,XIe;rue du Pont aux Choux, 2, et rue Saint-Sébastien, 1.;rue des Filles du Calvaire, 18 et rue Oberkampf, 2.
Arsenal.;impasse Jean Beausire;8.2;37.0;IVe;rue Jean Beausire, 19.;
Saint-Gervais.;rue de l'Hôtel de Ville;4.0;446.0;IVe;rues du Fauconnier et du Figuier, 1.;rue de Brosse, 2.
Chaussée d'Antin.;rue de la Chaussée d'Antin;20.0;578.0;IXe;boulevard des Capucines, 4 et boulevard des Italiens, 38.;rue Saint-Lazare, 73 et de Châteaudun, 59.
Rochechouart.;rue Mayran;12.0;137.0;IXe;rue de Montholon, 26, et rue La Fayette.;rue de Rochechouart, 12-16.
Sorbonne.;rue Victor Cousin;9.85;144.0;Ve;place de la Sorbonne, 1.;rue Soufflot, 20.
Val de Grâce.;rue Tournefort;14.0;270.0;Ve;rue Blainville, 11 et rue de l'Estrapade, 1.;place Lucien Herr, 2.
Monnaie.;place de l'Institut;0.0;0.0;VIe;quai de Conti, 23, et quai Malaquais, 1.;
Notre-Dame des Champs.;rue Régis;12.0;63.0;VIe;rue de l'Abbé Grégoire, 24.;rue de Bérite, 3.
Maison Blanche.;rue du Docteur Laurent;20.0;120.0;XIIIe;rue du Moulin de la Pointe, 2, et avenue d'Italie, 102.;rue Damesme, 5.
Odéon.;place Saint-Sulpice;80.0;105.0;VIe;rue Bonaparte, 61 bis, devant l'église Saint-Sulpice.;
Gros Caillou.;avenue Charles Floquet;25.0;610.0;VIIe;avenue Octave Gréard, 3.;rue Jean Carriès.
Saint-Vincent de Paul.;rue de l'Aqueduc;14.0;800.0;Xe;rue La Fayette, 169.;boulevard de la Villette, 149.
Faubourg du Roule. Madeleine.;rue Jean Mermoz;10.6;306.0;VIIIe;rond-point des Champs Élysées-Marcel Dassault.;rue du Faubourg Saint-Honoré, 95.
Porte Saint-Martin.;passage des Marais;4.0;134.0;Xe;place Jacques Bonsergent, 10.;rue Legouvé, 3.
Porte Saint-Martin.;avenue Richerand;20.0;120.0;Xe;quai de Jemmapes, 74.;rue Bichat, 47 bis, et place du Docteur Alfred Fournier.
Hôpital Saint-Louis.;rue Jacques Louvel-Tessier;13.0;257.0;Xe;rue Bichat, 22.;rue Saint-Maur, 195.
Roquette.;cour du Nom de Jésus;2.85;34.0;XIe;rue du Faubourg Saint-Antoine, 47.;en impasse
Bel Air.;voie AO/12;6.0;60.0;XIIe;rue du Rendez-Vous, 60.;en impasse
Bel Air.;route des Bosquets;4.0;330.0;XIIe;route des Chênes.;La Porte Jaune.
Bel Air.;rue André Derain;5.0;60.0;XIIe;rue de Montempoivre, 14.;rue Marie Laurencin.
Auteuil.;avenue Marcel Doret;22.5;150.0;XVIe;boulevard Murat, 126.;bretelle de sortie du boulevard Périphérique.
Pont de Flandre.;quai de l'Allier;6.5;370.0;XIXe;passage supérieur du boulevard Macdonald.;à la limite du territoire d'Aubervilliers.
Amérique.;square La Champmeslé;3.0;99.0;XIXe;avenue Jean Jaurès, 182.;en impasse
Amérique.;place des Fêtes;0.0;0.0;XIXe;au débouché des rues des Fêtes, Compans, du Pré Saint-Gervais, de Crimée et des Solitaires. Bordée par la rue Petitot.;
Amérique.;allée de Fontainebleau;3.5;153.0;XIXe;1° tronçon: rue Petit, 106. / 2° tronçon: allée de Fontainebleau, 5. / 3° tronçon: allée de Fontainebleau, 8.;1° tronçon: allée de Fontainebleau, 5 et 8. / 2° tronçon: en impasse. / 3° tronçon: en impasse.
Batignolles.;rue Christine De Pisan;10.0;250.0;XVIIe;rue de Saussure, 130.;en impasse
Clignancourt.;square Ornano;6.0;66.0;XVIIIe;boulevard Ornano, 14.;en impasse
Amérique.;rue Miguel Hidalgo;12.0;265.0;XIXe;rue Compans, 116.;place Rhin et Danube.
Amérique.;rue des Mignottes;12.0;70.0;XIXe;rue Compans, 86.;rue de Mouzaïa, 14-14 bis.
Grenelle. Javel.;rue Saint-Charles;16.0;1950.0;XVe;boulevard de Grenelle, 32.;rue Leblanc, 77.
Necker.;rue Émile Duclaux;15.0;195.0;XVe;rue Blomet, 13.;rue de Vaugirard, 184.
Grandes Carrières.;rue Henri Huchard;30.0;460.0;XVIIIe;avenue de la Porte de Montmartre, 15.;avenue de la Porte de Saint-Ouen, 24.
Clignancourt.;rue du Simplon;12.0;520.0;XVIIIe;rue des Poissonniers, 107.;rue du Mont Cenis, 96.
Père Lachaise.;voie AB/20;3.8;152.0;XXe;rue de Bagnolet, 49.;rue Ligner, 22.
Invalides.;place Salvador Allende;0.0;0.0;VIIe;intersection du boulevard de Latour-Maubourg et rue de Grenelle, et limitée par ces voies.;
Père Lachaise.;passage Duris;6.0;48.0;XXe;rue Duris, 7.;rue Jacques Prévert, 12.
Père Lachaise.;rue Juillet;12.0;156.0;XXe;rue de la Bidassoa, 44.;rue de la Bidassoa, 54.
Saint-Lambert.;rue André Theuriet;18.0;90.0;XVe;boulevard Lefebvre.;avenue Albert Bartholomé.
Grenelle.;rue Tournus;9.0;99.0;XVe;rue Fondary, 38.;rue du Théâtre, 101.
Saint-Lambert.;rue de Vichy;10.0;80.0;XVe;En impasse au-delà de la rue Paul Delmet.;rue Malassis, 5.
Auteuil.;rue du Buis;8.0;93.0;XVIe;rue Chardon-Lagache, 2, et rue Verderet.;rue d'Auteuil, 11.
Porte Dauphine.;avenue Chantemesse;54.0;105.0;XVIe;boulevard Lannes.;avenue du Maréchal Fayolle, 47.
Muette.;rue Édouard Fournier;12.0;110.0;XVIe;boulevard Jules Sandeau, 19.;rue Octave Feuillet, 24.
Muette.;rue Faustin Hélie;10.0;121.0;XVIe;place Possoz, 6.;rue de la Pompe, 10.
Auteuil.;rue Suzanne Lenglen;11.0;180.0;XVIe;boulevard d'Auteuil (Boulogne-Billancourt).;avenue de la Porte d'Auteuil.
Necker.;rue Maurice Maignen;4.0;108.0;XVe;rue du Cotentin.;rue Aristide Maillol, 17.
Auteuil. Muette.;place Clément Ader;0.0;0.0;XVIe;au débouché des rues Gros et de Boulainvilliers et limitée aux avenues de Versailles et du Président Kennedy.;
Porte Dauphine. Ternes.;voie AQ/16;10.0;180.0;XVIe;voie BG/17.;bois de Boulogne.
Muette.;voie BI/16;9.0;130.0;XVIe;avenue de Saint-Cloud.;boulevard Périphérique extérieur ouest.
Muette.;avenue de Camoëns;18.0;115.0;XVIe;boulevard Delessert, 4.;rue Benjamin Franklin, 14.
Muette.;place du Père Marcellin Champagnat;26.0;29.0;XVIe;rue de l'Annonciation entre les nos 6 et 10.;
Auteuil.;place de l'Église d'Auteuil;0.0;0.0;XVIe;église Notre-Dame d'Auteuil.;
Muette.;avenue Jules Janin;7.0;150.0;XVIe;rue de la Pompe, 12.;rue de la Pompe, 32.
Auteuil.;rue Robert Turquan;12.0;51.0;XVIe;rue de l'Yvette, 13.;en impasse
Auteuil.;impasse Voltaire;4.0;45.0;XVIe;impasse Racine, et avenue Despréaux.;
Chapelle.;voie BG/18;10.0;170.0;XVIIIe;avenue de la Porte de la Chapelle.;voie BF/18 et avenue du Président Wilson (Saint-Denis).
Plaine de Monceaux.;rue Cernuschi;12.0;158.0;XVIIe;boulevard Malesherbes, 148.;rue de Tocqueville, 79.
Europe.;place de l'Europe-Simone Veil;50.0;58.0;VIIIe;intersection des rues de Constantinople, de Madrid, de Vienne, de Londres, de Liège et de Saint-Pétersbourg.;
Muette.;allée Jean Sablon;;130.0;XVIe;Située le long de l'avenue Ingres, en face du jardin du Ranelagh.;
Notre-Dame des Champs.;rue de Cicé;7.5;65.0;VIe;rue Stanislas, 16.;rue du Montparnasse, 25.
Sorbonne.;rue des Anglais;10.0;74.0;Ve;rue Galande, 21, et rue Lagrange, 12.;boulevard Saint-Germain, 68.
Gros Caillou.;rue du Gros Caillou;10.0;140.0;VIIe;rue Augereau, 11.;rue de Grenelle, 208 bis.
Palais Royal.;péristyle de Valois;15.8;24.0;Ier;galeries des Proues et de la Cour d'Honneur.;galeries du Jardin et de Valois.
Gaillon. Vivienne.;rue Saint-Augustin;10.0;362.0;IIe;rue de Richelieu, 75.;avenue de l'Opéra, 34, et rue d'Antin, 14.
Vivienne.;rue Chabanais;10.0;112.0;IIe;rue des Petits Champs, 22.;rue Rameau, 9.
Bonne Nouvelle.;rue Saint-Sauveur;10.0;250.0;IIe;rue Saint-Denis, 181.;rue Montorgueil, 102, et rue des Petits Carreaux, 2.
Sainte-Avoye.;rue des Haudriettes;12.0;115.0;IIIe;rue des Archives, 53.;rue du Temple, 78-84 et place Renée Vivien.
Archives.;rue du Grand Veneur;3.0;115.0;IIIe;rue des Arquebusiers.;Hôtel du Grand Veneur.
Saint-Georges.;villa Ballu;5.0;45.0;IXe;rue Ballu, 23.;en impasse
Rochechouart.;rue Choron;12.0;230.0;IXe;rue Rodier, 3, et rue de Maubeuge, 11.;rue des Martyrs, 16, 20.
Rochechouart.;cité Fénelon;8.6;51.0;IXe;rue Milton, 32.;en impasse
Faubourg Montmartre.;impasse de la Boule Rouge;5.0;27.0;IXe;rue Geoffroy-Marie, 7.;
Plaine de Monceaux.;rue Fernand Cormon;12.0;44.0;XVIIe;rue Sisley, 1.;rue de Saint-Marceaux, 6.
Clignancourt.;rue de l'Abbé Patureau;12.0;104.0;XVIIIe;rue Paul Féval, 8.;rue Caulaincourt, 116.
Grandes Carrières.;rue Vauvenargues;12.0;750.0;XVIIIe;rue Marcadet, 204, et rue Damrémont, 65.;boulevard Ney, 153.
Père Lachaise.;rue des Cendriers;7.0;214.0;XXe;boulevard de Ménilmontant, 100.;rue Duris, 33.
Père Lachaise.;chemin du Parc de Charonne;10.0;142.0;XXe;rue des Prairies, 5 bis.;rue Stendhal, 2.
Père Lachaise.;rue Lucien Leuwen;4.0;93.0;XXe;rue Stendhal, 3 ter.;en impasse
Faubourg Montmartre. Rochechouart. Saint-Vincent de Paul.;rue de Maubeuge;16.0;1470.0;IXe,Xe;place Kossuth.;boulevard de la Chapelle, 39 bis.
Sur le territoire de Boulogne-Billancourt.;boulevard Anatole France;20.0;1230.0;Limitrophe;grille de Saint-Cloud.;porte de Boulogne.
Saint-Victor.;quai de la Tournelle;23.0;420.0;Ve;boulevard Saint-Germain, 2 et pont de Sully.;rue Maître Albert, 1.
Odéon.;rue Crébillon;9.74;62.0;VIe;rue de Condé, 15.;place de l'Odéon, 2.
Madeleine.;rue d'Aguesseau;10.0;175.0;VIIIe;rue du Faubourg Saint-Honoré, 60.;rue de Surène, 23.
Champs Elysées.;impasse du Docteur Jacques Bertillon;10.0;120.0;VIIIe;avenue Pierre Ier de Serbie, 32.;
Champs Elysées. Madeleine.;place de la Concorde;210.0;360.0;VIIIe;entre le jardin des Tuileries, l'avenue des Champs Elysées, le pont de la Concorde et la rue Royale.;
Champs Elysées.;place François Ier;54.0;0.0;VIIIe;intersection des rues François Ier, Bayard et Jean Goujon.;
Saint-Vincent de Paul.;rue de Valenciennes;12.0;137.0;Xe;rue du Faubourg Saint-Denis, 141.;boulevard de Magenta, 110.
Bel Air.;route de la Ménagerie;5.5;530.0;XIIe;avenue de la Belle Gabrielle (Nogent-sur-Marne).;route Circulaire.
Bercy.;rue Baron Le Roy;22.0;483.0;XIIe;place Lachambeaudie, 4.;en impasse
Grenelle.;rue Juge;9.0;264.0;XVe;rue Viala, 9.;rue Violet, 6.
Maison Blanche.;rue de la Colonie;10.0;600.0;XIIIe;rue Vergniaud, 57.;place de l'Abbé Georges Hénocque, 8.
Saint-Lambert.;rue Fourcade;12.0;100.0;XVe;rue de Vaugirard, 331 bis-333.;rue Olivier de Serres, 4.
Pont de Flandre.;voie DD/19;10.0;230.0;XIXe;boulevard Périphérique extérieur est.;place Auguste Baron.
Pont de Flandre.;voie DI/19;10.0;15.0;XIXe;place Auguste Baron.;rue Emile Reynaud.
Folie-Méricourt.;rue Abel Rabaud;10.0;29.0;XIe;avenue Parmentier, 140.;rue des Goncourt, 7.
Bel Air.;rue Édouard Lartet;13.0;285.0;XIIe;rue du Général Archinard, 11.;boulevard de la Guyane.
Bel Air. Picpus.;route de l'Asile National;8.5;1270.0;XIIe;avenue de Gravelle (Saint-Maurice).;avenue Daumesnil (Saint-Mandé).
Auteuil.;avenue du Parc des Princes;30.0;370.0;XVIe;rue Lecomte du Noüy, et rue Claude Farrère, 1.;place du Docteur Paul Michaux.
Maison Blanche.;rue du Docteur Lucas-Championnière;15.0;105.0;XIIIe;rue du Docteur Leray, rue de l'Interne Loëb, et place Jean Delay.;rue Damesme, 44, et rue du Docteur Tuffier, 2.
Arsenal.;rue Mornay;20.0;148.0;IVe;boulevard Bourdon, 19.;rue de Schomberg, 10 et rue de Sully, 2.
Saint-Gervais.;rue du Prévôt;3.0;104.0;IVe;rue Charlemagne, 18.;rue Saint-Antoine, 129.
Rochechouart.;voie E/9;3.0;17.0;IXe;rue Rodier, 16.;en impasse.
Gare.;voie N/13;4.4;74.0;XIIIe;rue du Chevaleret, 77.;en impasse.
Maison Blanche.;rue des Longues Raies;12.0;530.0;XIIIe;boulevard Kellermann.;rue de l'Amiral Mouchez, 71.
Petit Montrouge.;impasse Saint-Alphonse;3.0;32.0;XIVe;rue du Père Corentin, 77.;
Plaisance.;rue Bardinet;12.0;152.0;XIVe;rue d'Alésia, 179.;rue de l'Abbé Carton, 27 bis.
Montparnasse.;rue du Faubourg Saint-Jacques;12.0;600.0;XIVe;boulevard de Port-Royal, 117.;place Saint-Jacques.
Petit Montrouge.;rue du Douanier Rousseau;15.0;60.0;XIVe;rue de la Tombe Issoire, 108.;rue du Père Corentin, 13.
Maison Blanche.;voie DG/13;9.0;180.0;XIIIe;autoroute B6.;boulevard Périphérique extérieur sud.
Maison Blanche. Parc de Montsouris.;place Coluche;0.0;0.0;XIIIe, XIVe;Située à lintersection de rue dAlésia, rue de la Santé, rue de la Glacière, rue de Tolbiac, rue Boussingault, rue de lAmiral Mouchez, et avenue Reille.;
Saint-Germain des Prés.;rue Guillaume Apollinaire;9.74;55.0;VIe;place Saint-Germain des Prés, 2 et rue Bonaparte, 42.;rue Saint-Benoît, 11.
Halles.;rue Berger;16.0;580.0;Ier;boulevard de Sébastopol, 29.;rue du Louvre, 38.
Palais Royal.;péristyle de Chartres;12.5;25.0;Ier;rue de Montpensier, 4.;galerie de Chartres, 22.
Notre-Dame.;rue Jean Du Bellay;16.0;75.0;IVe;quai de Bourbon, 55.;quai de Bourbon, 33.
Place Vendôme.;rue du Vingt-Neuf Juillet;10.0;116.0;Ier;rue de Rivoli, 208.;rue Saint-Honoré, 213.
Halles.;rue des Innocents;12.0;115.0;Ier;rue Saint-Denis, 43.;place Marguerite de Navarre.
Halles.;place Marguerite de Navarre;0.0;0.0;Ier;entre les rues des Innocents, de la Lingerie et des Halles.;
Saint-Victor.;rue des Grands Degrés;6.0;50.0;Ve;rue Maître Albert, 2 et quai de Montebello.;rue Frédéric Sauton, et rue du Haut Pavé, 3.
Saint-Germain des Prés.;passage de la Petite Boucherie;5.3;76.0;VIe;rue de l'Abbaye, 1.;boulevard Saint-Germain, 166.
Ecole Militaire.;rue José-Maria de Heredia;15.1;130.0;VIIe;avenue de Ségur, 67.;rue Pérignon, 16.
Saint-Thomas d'Aquin.;impasse Oudinot;10.0;18.0;VIIe;rue Vaneau, 55.;
Gros Caillou. Champs Elysées. Chaillot.;pont de l'Alma;42.0;153.0;VIIe,VIIIe,XVIe;avenue de New York.;quai Branly, au droit des places de l'Alma et de la Résistance.
Quinze-Vingts.;rue Michel Chasles;20.0;195.0;XIIe;boulevard Diderot, 23 bis-23 ter.;avenue Daumesnil, 26 bis et rue Traversière, 28 ter.
Saint-Vincent de Paul. Porte Saint-Martin. Porte Saint-Denis.;rue du Huit Mai 1945;20.0;223.0;Xe;rue du Faubourg Saint-Martin, 131.;boulevard de Magenta, 84 et rue du Faubourg Saint-Denis, 122.
Muette.;rue Alfred Dehodencq;12.0;228.0;XVIe;rue Octave Feuillet, 9.;en impasse au-delà de la rue de Franqueville.
Champs Elysées.;rue Robert Estienne;12.0;64.0;VIIIe;rue Marbeuf, 26.;en impasse
Champs Elysées.;cours la Reine;74.0;540.0;VIIIe;place de la Concorde.;place du Canada.
Porte Saint-Martin.;passage Dubail;4.5;246.0;Xe;1° tronçon : rue du Faubourg Saint-Martin, 120. / 2° tronçon : boulevard de Magenta, 54. et rue des Vinaigriers, 60.;1° tronçon : rue des Vinaigriers, 50. / 2° tronçon : passage Dubail (1er tronçon).
Saint-Vincent de Paul.;rue Fénelon;19.55;117.0;Xe;rue d'Abbeville, 2, et place Franz Liszt.;rue de Belzunce, 5.
Hôpital Saint-Louis. Villette.;place de la Bataille de Stalingrad;0.0;0.0;Xe,XIXe;intersection des avenues Secrétan et Jean Jaurès, des quais de la Loire et de la Seine, des rues La Fayette et du Faubourg Saint-Martin avec le boulevard de la Villette.;
Clignancourt. Goutte d'Or.;avenue de la Porte des Poissonniers;25.0;340.0;XVIIIe;boulevard Ney.;rue des Poissonniers à la limite du territoire de Saint-Ouen et rue du Professeur Gosset.
Charonne.;cité Champagne;15.0;186.0;XXe;rue des Pyrénées, 81.;rue de la Réunion, 16.
Belleville.;impasse de la Mare;2.0;40.0;XXe;rue de la Mare, 14.;
Ternes.;avenue Yves Du Manoir;3.5;100.0;XVIIe;avenue de Verzy, 11 bis.;avenue des Pavillons, 19.
Chapelle.;rue Buzelin;12.0;135.0;XVIIIe;rue Riquet, 72 bis.;rue de Torcy, 13.
Chapelle.;rue Caillié;7.0;133.0;XVIIIe;boulevard de la Chapelle, 8.;rue du Département, 25.
Grandes Carrières.;rue Coustou;12.0;133.0;XVIIIe;boulevard de Clichy, 64-68.;rue Lepic, 12.
Grandes Carrières.;villa Damrémont;12.05;45.0;XVIIIe;rue Damrémont, 110.;en impasse
Auteuil.;square Théophile Gautier;12.0;70.0;XVIe;avenue Théophile Gautier, 57.;en impasse
Auteuil.;square Jouvenet;8.0;25.0;XVIe;rue Jouvenet, 14.;en impasse
Auteuil.;rue Van Loo;15.0;133.0;XVIe;quai Louis Blériot, 154.;avenue de Versailles, 155.
Auteuil.;place du Docteur Paul Michaux;0.0;0.0;XVIe;au débouché de la rue du Lieutenant-Colonel Deport et limité aux avenues de la Porte de Saint-Cloud et du Parc des Princes.;
Père Lachaise. Charonne.;rue de la Réunion;10.0;800.0;XXe;rue d'Avron, 73.;en impasse au-delà de la rue de Bagnolet.
Auteuil.;avenue de Versailles;26.0;2080.0;XVIe;quai Louis Blériot, 2, et place Clément Ader.;place de la Porte de Saint-Cloud, 4.
Javel.;rue Henry Farman;14.0;140.0;XVe;avenue de la Porte de Sèvres, 22.;rue Henry Farman, à la limite du territoire d'Issy-les-Moulineaux.
Grenelle.;villa de Grenelle;4.0;68.0;XVe;rue Violet, 16.;villa Juge, 7.
Roquette.;rue de la Croix Faubin;12.0;174.0;XIe;rue de la Folie-Regnault, 7-15.;rue de la Roquette, 166 bis.
Saint-Ambroise.;rue Lacharrière;10.0;366.0;XIe;boulevard Voltaire, 73.;rue Saint-Maur, 61.
Roquette.;cour Sedaine;4.0;43.0;XIe;rue Sedaine, 40.;en impasse
Roquette.;rue Sedaine;12.0;753.0;XIe;boulevard Richard Lenoir, 18.;avenue Parmentier, 3.
Bercy.;place du Bataillon Du Pacifique;0.0;0.0;XIIe;intersection du boulevard de Bercy et de la rue de Bercy et limité par la rue de Chambertin.;
Bel Air.;avenue Armand Rousseau;20.0;200.0;XIIe;place Édouard Renard, 3 et avenue Daumesnil.;rue Ernest Lefébure, et avenue du Général Messimy.
Quinze-Vingts. Salpêtrière.;pont Charles De Gaulle;32.5;210.0;XIIe,XIIIe;quai de la Rapée.;quai d'Austerlitz.
Gare.;rue Albert Bayet;20.0;220.0;XIIIe;avenue Edison, 66.;boulevard Vincent Auriol, 197.
Saint-Thomas d'Aquin.;rue Récamier;12.1;73.0;VIIe;rue de Sèvres, 12.;en impasse
Salpêtrière.;port d'Austerlitz;0.0;980.0;XIIIe;pont de Bercy.;pont d'Austerlitz.
Madeleine.;rue Montalivet;10.0;149.0;VIIIe;rue d'Aguesseau, 13.;rue des Saussaies, 10.
Madeleine. Europe.;rue Pasquier;12.0;480.0;VIIIe;boulevard Malesherbes, 6.;rue du Rocher, 1.
Notre-Dame.;quai de Béthune;7.8;365.0;IVe;boulevard Henri IV, 1, et pont de Sully.;rue des Deux Ponts, 2, et pont de la Tournelle.
Halles.;rue Poquelin;4.0;64.0;Ier;entre le palier de la porte Lescot et le Grand Balcon, au niveau -1 du secteur Forum Central des Halles.;
Jardin des Plantes. Val de Grâce.;rue Claude Bernard;20.0;575.0;Ve;avenue des Gobelins, 2, et rue de Bazeilles, 4.;place Pierre Lampué, et rue des Feuillantines, 1.
Jardin des Plantes.;rue Buffon;20.0;616.0;Ve;boulevard de l'Hôpital, 2.;rue Geoffroy-Saint-Hilaire, 34 bis.
Gare.;square de la Limagne;16.0;120.0;XIIIe;avenue Boutroux, 2.;boulevard Masséna, 21.
Gare.;passage National;15.0;154.0;XIIIe;rue du Château des Rentiers, 25.;rue Nationale, 20.
Plaisance.;villa Collet;8.0;75.0;XIVe;rue Didot, 119.;en impasse
Plaisance.;villa Duthy;6.0;152.0;XIVe;rue Didot, 99.;en impasse
Saint-Lambert.;rue Franquet;12.0;135.0;XVe;rue Santos-Dumont, 21.;rue Labrouste, 60.
Parc de Montsouris.;place Jules Hénaffe;0.0;0.0;XIVe;à la rencontre de la rue de la Tombe Issoire avec l'avenue Reille.;
Plaisance.;rue Léonidas;10.0;180.0;XIVe;rue des Plantes, 32.;rue Hippolyte Maindron, 31.
Montparnasse.;allée Verhaeren;3.2;120.0;XIVe;rue Jean Dolent, 23 ter.;en impasse, au-delà de l'allée Rodenbach.
Vivienne.;galerie Saint-Marc;3.2;60.0;IIe;rue Saint-Marc, 8.;galerie des Variétés, 23.
Gaillon.;rue Volney;12.0;134.0;IIe;rue des Capucines, 10.;rue Daunou, 19.
Sainte-Avoye.;passage Sainte-Avoie;8.7;80.0;IIIe;rue Rambuteau, 8.;rue du Temple, 62.
