Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Saint-Merri.;rue de la Coutellerie;15.0;71.0;IVe;rue de Rivoli, 31.;avenue Victoria, 6.
Rochechouart.;rue de Bellefond;10.0;297.0;IXe;rue du Faubourg Poissonnière, 105.;rue de Rochechouart, 26, et rue de Maubeuge, 46.
Saint-Georges.;cité de Londres;3.0;115.0;IXe;rue Saint-Lazare, 84.;rue de Londres, 13.
Saint-Georges.;square d'Orléans;28.5;43.0;IXe;rue Taitbout, 80.;en impasse
Sorbonne.;rue Boutebrie;12.0;58.0;Ve;rue de la Parcheminerie, 15.;boulevard Saint-Germain, 90.
Sorbonne.;rue Champollion;8.0;145.0;Ve;rue des Écoles, 51.;place de la Sorbonne, 6.
Saint-Victor. Sorbonne.;place Maubert;0.0;0.0;Ve;intersection des rues Lagrange, Frédéric Sauton, Maître Albert et du boulevard Saint-Germain.;
Saint-Victor.;rue de Pontoise;12.0;270.0;Ve;quai de la Tournelle, 39.;rue Saint-Victor, 18.
Jardin des Plantes.;rue de Valence;12.0;109.0;Ve;avenue des Gobelins, 2.;rue Pascal, 19.
Notre-Dame des Champs.;place Alphonse Deville;30.0;50.0;VIe;boulevard Raspail (côté impair), rue du Cherche-Midi, et rue d'Assas.;
Odéon.;rue Antoine Dubois;11.5;57.0;VIe;rue de l'École de Médecine, 23.;rue Monsieur le Prince, 21.
Monnaie.;rue André Mazet;10.0;68.0;VIe;rue Dauphine, 47.;rue Saint-André des Arts, 66.
Madeleine.;rue du Cirque;12.0;240.0;VIIIe;avenue Gabriel, 40.;rue du Faubourg Saint-Honoré, 63.
Gros Caillou.;avenue Élisée Reclus;25.0;230.0;VIIe;avenue Silvestre de Sacy, 3.;avenue Joseph Bouvard.
Champs Elysées.;avenue George V;40.0;730.0;VIIIe;place de l'Alma, 5.;avenue des Champs Élysées, 99.
Madeleine.;galerie de la Madeleine;4.0;53.0;VIIIe;place de la Madeleine, 9.;rue Boissy d'Anglas, 30.
Europe. Batignolles.;boulevard des Batignolles;42.0;750.0;VIIIe,XVIIe;place de Clichy, 5, et rue de Saint-Pétersbourg, 45.;place Prosper Goubaux, 2.
Roquette.;rue Merlin;13.0;320.0;XIe;rue de la Roquette, 151.;rue du Chemin Vert, 126.
Folie-Méricourt.;rue de la Présentation;12.0;156.0;XIe;rue de l'Orillon, 43.;rue du Faubourg du Temple, 112.
Folie-Méricourt.;rue de la Fontaine Au Roi;12.0;850.0;XIe;rue du Faubourg du Temple, 32, et rue de la Folie-Méricourt, 114.;boulevard de Belleville, 57.
Bel Air.;esplanade Saint-Louis;105.0;185.0;XIIe;intersection des avenues des Minimes, Daumesnil, du Polygone et des routes de l'Esplanade, Dauphine et de la Pyramide. La partie sud-ouest de l'esplanade comporte un jardin public dénommé square Carnot.;
Quinze-Vingts.;rue de Citeaux;12.0;415.0;XIIe;boulevard Diderot, 43.;rue du Faubourg Saint-Antoine, 160, 164.
Bercy.;voie CJ/12;12.0;110.0;XIIe;quai de Bercy.;CI/12.
Bercy.;voie CN/12;12.0;50.0;XIIe;rue Escoffier.;rue du Général de Langle de Cary.
Bel Air.;avenue Courteline;42.0;345.0;XIIe;boulevard Soult, 72.;avenue Victor Hugo, à la limite du territoire de Saint-Mandé.
Plaisance.;rue Lebouis;7.2;100.0;XIVe;rue de l'Ouest, 21.;rue Raymond Losserand, 8.
Amérique.;rue Alphonse Aulard;15.0;95.0;XIXe;boulevard Sérurier, 52.;boulevard d'Algérie, 9.
Chapelle.;place Pierre Mac Orlan;0.0;0.0;XVIIIe;intersection des rues Raymond Queneau, Jean Cottin et Tristan Tzara.;
Villette.;rue Gresset;10.0;82.0;XIXe;rue de Crimée, 174.;rue de Joinville, 11 bis.
Amérique.;allée Darius Milhaud;12.0;675.0;XIXe;rue Manin, 95.;rue Petit, 120.
Amérique.;rue Jean-Baptiste Sémanaz;16.0;40.0;XIXe;rue Jean-Baptiste Sémanaz à la limite du territoire du Pré-Saint-Gervais.;rue Sigmund Freud, 50.
Pont de Flandre.;avenue de la Porte de la Villette;40.0;220.0;XIXe;boulevard Macdonald, 84.;place Auguste Baron.
Saint-Lambert.;rue du Sommet des Alpes;12.0;65.0;XVe;rue Fizeau, 18.;rue Castagnary, 134.
Grenelle.;place de Brazzaville;65.0;70.0;XVe;quai de Grenelle, 47.;rue Émeriau, 26.
Grandes Carrières. Clignancourt.;rue Houdon;10.0;175.0;XVIIIe;boulevard de Clichy, 16-20.;rue des Abbesses, 3-7.
Goutte d'Or.;rue d'Oran;10.0;204.0;XVIIIe;rue Ernestine, 3.;rue des Poissonniers, 46 bis.
Père Lachaise. Saint-Fargeau.;rue Belgrand;20.0;700.0;XXe;place Gambetta, 4.;place de la Porte de Bagnolet, et rue de Bagnolet, 179.
Charonne.;square Jules Chéret;13.0;55.0;XXe;rue Mendelssohn, 11.;rue des Docteurs Déjérine, 9.
Charonne.;place des Grès;0.0;0.0;XXe;à l'intersection du côté impair de la rue Vitruve avec le côté impair de la rue Saint-Blaise.;
Saint-Lambert.;rue Sainte-Félicité;8.0;180.0;XVe;rue de la Procession, 12-16.;rue des Favorites, 17-21.
Saint-Lambert.;rue Louis Vicat;15.0;680.0;XVe;place des Insurgés de Varsovie.;boulevard Adolphe Pinard.
Porte Dauphine.;voie BF/16;10.0;170.0;XVIe;route de la Muette à Neuilly.;boulevard Périphérique intérieur ouest.
Auteuil.;avenue du Général Clavery;20.0;105.0;XVIe;rue Abel Ferry, 1.;avenue Marcel Doret, 5 et place de l'Abbé Franz-Stock.
Auteuil.;rue Girodet;12.0;55.0;XVIe;rue d'Auteuil, 48-48 bis.;rue Poussin, 11 bis-15.
Javel.;rue Oscar Roty;12.0;235.0;XVe;rue de Lourmel, 107.;avenue Félix Faure, 32-38.
Muette.;place Chopin;0.0;0.0;XVIe;intersection des rues Singer, Lekain, Duban et Alfred Bruneau.;
Auteuil.;villa Cheysson;2.3;110.0;XVIe;rue Boileau, 84.;en impasse au-delà de la villa Emile Meyer.
Auteuil.;avenue de la Porte de Saint-Cloud;31.0;300.0;XVIe;place de la Porte de Saint-Cloud.;avenue Ferdinand Buisson, 47 et rue du Commandant Guilbaud, 2.
Auteuil.;place de la Porte d'Auteuil;0.0;0.0;XVIe;à la rencontre des boulevards Murat et Suchet et des avenues du Général Sarrail, de la Porte d'Auteuil et du Maréchal Lyautey.;
Auteuil.;avenue du Recteur Poincaré;12.0;244.0;XVIe;rue Jean de La Fontaine, 24.;place Rodin, 1.
Porte Dauphine. Chaillot.;avenue Raymond Poincaré;23.5;950.0;XVIe;Place du Trocadéro et du 11 novembre, 6.;avenue Foch, 39.
Chaillot.;square de l'Union;12.0;35.0;XVIe;rue Lauriston, 84.;en impasse
Muette.;voie W/16;1.0;25.0;XVIe;rue de la Tour, 114.;en impasse.
Epinettes.;rue Paul Bodin;18.0;152.0;XVIIe;avenue de Clichy, 174.;rue Ernest Goüin, 3.
Ternes. Plaine de Monceaux. Batignolles.;boulevard Pereire;43.7;2540.0;XVIIe;rue Jouffroy d'Abbans, 80 et rue de Saussure, 111.;avenue de la Grande Armée, 80 et boulevard Gouvion-Saint-Cyr, 99.
Sainte-Avoye.;passage Brantôme;5.0;24.0;IIIe;rue Rambuteau.;rue Brantôme.
Saint-Thomas d'Aquin.;rue de Poitiers;12.0;112.0;VIIe;rue de Lille, 59.;rue de l'Université, 66.
Archives. Enfants Rouges.;rue du Pont Aux Choux;12.0;171.0;IIIe;boulevards Beaumarchais, 113 et des Filles du Calvaire, 1.;rue de Turenne, 86.
Halles.;place Sainte-Opportune;0.0;0.0;Ier;rue des Halles, 10.;rue Courtalon.
Halles.;passage de la Réale;4.6;105.0;Ier;sur le pourtour de la place-patio Pina Bausch (située en contrebas au niveau -3), en vis à vis du Balcon Saint-Eustache, desservant notamment le palier de la porte Rambuteau et la rue Pirouette, au niveau -2 du secteur Forum Central des Halles.;
Arts et Métiers.;rue Bailly;10.0;77.0;IIIe;rue Réaumur, 27.;rue Beaubourg, 98.
Enfants Rouges.;rue Commines;9.7;170.0;IIIe;rue de Turenne, 90.;boulevard des Filles du Calvaire, 11.
Archives. Arsenal.;rue des Tournelles;15.5;580.0;IIIe,IVe;rue Saint-Antoine, 8.;boulevard Beaumarchais, 77.
Ecole Militaire.;rue Duroc;17.5;236.0;VIIe;boulevard des Invalides, 52.;place de Breteuil, 3.
